significantWaveHeight,peakPeriod,meanPeriod,peakDirection,peakDirectionalSpread,meanDirection,meanDirectionalSpread,timestamp,latitude,longitude
0.02,6.02,3.58,273.077,77.252,160.974,79.804,2022-04-06T16:10:25.000Z,22.3047,39.10358
0.02,14.62,3.7,319.6,78.546,11.889,80.256,2022-04-06T16:40:25.000Z,22.3047,39.10358
0.08,20.48,10.76,297.759,78.436,149.49,78.412,2022-04-06T17:10:25.000Z,22.3047,39.10358
0.04,7.86,4.98,299.427,73.594,78.486,78.816,2022-04-06T17:40:25.000Z,22.30468,39.10362
0.02,6.4,3.6,138.871,77.205,53.31,78.469,2022-04-06T18:10:25.000Z,22.3047,39.10357
0.03,6.82,4.72,291.251,79.484,13.57,79.838,2022-04-06T19:10:25.000Z,22.30468,39.10362
0.04,9.3,6.3,214.624,76.88,92.291,80.031,2022-04-06T19:40:25.000Z,22.3047,39.10358
0.05,11.36,6.96,134.229,74.522,225.0,80.804,2022-04-06T20:10:25.000Z,22.30465,39.1036
0.08,25.6,10.62,15.027,74.669,6.009,77.943,2022-04-06T20:40:25.000Z,22.30472,39.10358
0.07,25.6,10.4,18.435,74.231,360.0,78.207,2022-04-06T21:10:25.000Z,22.3047,39.1036
0.04,11.36,6.8,69.507,76.729,337.891,79.649,2022-04-06T21:40:25.000Z,22.3047,39.1036
0.03,12.8,6.46,13.021,74.24,15.945,78.092,2022-04-06T22:10:25.000Z,22.30472,39.1036
0.03,25.6,5.34,309.806,77.551,317.911,79.357,2022-04-06T22:40:25.000Z,22.3047,39.10353
0.05,17.06,7.62,189.462,77.834,248.429,79.176,2022-04-06T23:10:25.000Z,22.30468,39.10353
0.08,25.6,11.02,234.189,77.074,251.98,77.495,2022-04-06T23:40:25.000Z,22.30468,39.10355
0.06,25.6,10.5,289.12,77.821,305.166,78.868,2022-04-07T00:10:25.000Z,22.3047,39.10357
0.07,25.6,9.14,334.558,76.378,161.565,80.147,2022-04-07T01:40:25.000Z,22.30465,39.1036
0.15,25.6,14.52,166.49,74.492,162.997,70.296,2022-04-07T02:10:25.000Z,22.30468,39.10358
0.09,20.48,11.24,142.292,74.835,146.768,76.799,2022-04-07T02:40:25.000Z,22.30467,39.10358
0.07,25.6,10.48,216.085,78.084,182.083,78.819,2022-04-07T03:10:25.000Z,22.30465,39.10357
0.06,25.6,9.6,163.724,75.164,154.654,78.491,2022-04-07T03:40:25.000Z,22.30467,39.10357
0.05,25.6,6.62,133.636,76.177,168.408,79.436,2022-04-07T04:10:25.000Z,22.30465,39.10358
0.03,25.6,7.22,184.635,76.491,164.787,76.206,2022-04-07T04:40:25.000Z,22.30463,39.10357
0.1,25.6,12.42,46.017,76.148,66.371,78.213,2022-04-07T05:10:25.000Z,22.30462,39.10357
0.03,25.6,6.8,225.0,80.354,252.181,79.855,2022-04-07T05:40:25.000Z,22.30463,39.1036
0.01,1.62,2.56,165.273,73.514,74.358,79.994,2022-04-07T06:10:25.000Z,22.30463,39.1036
0.02,2.42,2.18,127.349,77.149,186.34,79.215,2022-04-07T06:40:25.000Z,22.30465,39.10358
0.03,3.1,2.88,170.036,74.841,130.601,79.555,2022-04-07T07:40:25.000Z,22.30465,39.10358
0.05,2.76,3.92,98.361,42.931,83.66,74.293,2022-04-07T08:10:25.000Z,22.30465,39.10358
0.06,20.48,4.38,96.483,75.584,110.614,76.277,2022-04-07T08:40:25.000Z,22.30467,39.10358
0.01,1.26,2.28,223.603,73.817,185.553,78.111,2022-04-07T09:10:25.000Z,22.30467,39.10358
0.02,25.6,3.18,333.435,78.051,267.51,80.112,2022-04-07T09:40:25.000Z,22.30467,39.10357
0.04,2.84,2.72,202.001,76.683,217.117,79.17,2022-04-07T10:10:25.000Z,22.30467,39.10357
0.02,20.48,2.52,360.0,78.002,139.399,80.295,2022-04-07T10:40:25.000Z,22.30465,39.10353
0.03,25.6,3.32,196.113,77.229,155.726,78.782,2022-04-07T11:10:25.000Z,22.30468,39.10353
0.06,25.6,12.68,355.601,80.51,172.875,79.416,2022-04-07T11:40:25.000Z,22.3047,39.10357
0.05,20.48,4.08,314.193,74.826,254.476,80.285,2022-04-07T12:10:25.000Z,22.30467,39.10355
0.03,25.6,3.62,101.239,74.464,90.0,78.942,2022-04-07T13:10:25.000Z,22.3047,39.10357
0.03,25.6,6.32,328.57,73.124,325.054,76.914,2022-04-07T13:40:25.000Z,22.30468,39.10355
0.02,14.62,3.26,104.621,75.168,95.44,79.34,2022-04-07T14:10:25.000Z,22.30472,39.10357
0.04,10.24,5.2,91.245,75.364,158.629,79.048,2022-04-07T14:40:25.000Z,22.3047,39.10355
0.03,20.48,3.98,163.072,76.119,157.457,78.723,2022-04-07T15:10:25.000Z,22.3047,39.10357
0.01,25.6,3.82,176.647,70.141,181.061,76.631,2022-04-07T15:40:25.000Z,22.3047,39.10358
0.05,3.52,2.88,119.745,55.667,111.19,70.732,2022-04-07T16:10:25.000Z,22.3047,39.10358
0.02,20.48,2.64,94.865,77.202,82.185,78.963,2022-04-07T16:40:25.000Z,22.3047,39.1036
0.01,25.6,4.24,134.244,69.609,133.589,75.127,2022-04-07T17:10:25.000Z,22.30468,39.10363
0.06,25.6,8.58,208.113,77.682,177.709,79.022,2022-04-07T17:40:25.000Z,22.3047,39.10357
0.01,25.6,3.74,347.031,74.02,312.221,78.087,2022-04-07T18:10:25.000Z,22.3047,39.10357
0.01,10.24,2.92,8.427,75.43,360.0,79.226,2022-04-07T18:40:25.000Z,22.30467,39.10358
0.08,25.6,11.68,273.347,73.934,271.637,78.206,2022-04-07T19:10:25.000Z,22.30467,39.10355
0.05,14.62,7.5,297.104,75.166,277.125,78.762,2022-04-07T19:40:25.000Z,22.3047,39.10357
0.06,25.6,9.36,77.905,80.459,351.87,80.748,2022-04-07T20:10:25.000Z,22.3047,39.10358
0.06,25.6,9.88,22.209,73.444,23.629,77.493,2022-04-07T20:40:25.000Z,22.3047,39.1036
0.06,25.6,10.02,23.962,74.527,17.199,77.468,2022-04-07T21:10:25.000Z,22.3047,39.10358
0.02,25.6,5.74,223.103,76.681,192.633,78.639,2022-04-07T21:40:25.000Z,22.30468,39.10358
0.02,20.48,4.86,22.548,73.33,21.209,78.13,2022-04-07T22:10:25.000Z,22.30467,39.10358
0.07,25.6,10.66,84.254,74.431,74.32,76.195,2022-04-07T22:40:25.000Z,22.30465,39.1036
0.03,8.52,4.5,155.799,77.067,125.311,78.664,2022-04-07T23:10:25.000Z,22.30467,39.10357
0.06,17.06,7.98,285.751,79.407,143.13,79.832,2022-04-07T23:40:25.000Z,22.30468,39.10357
0.06,20.48,9.46,180.535,76.674,209.932,79.506,2022-04-08T00:10:25.000Z,22.30468,39.10357
0.08,25.6,11.32,334.167,75.281,331.294,79.109,2022-04-08T00:40:25.000Z,22.30467,39.10357
0.08,25.6,11.5,360.0,80.152,261.254,80.506,2022-04-08T01:10:25.000Z,22.30467,39.10357
0.04,25.6,5.74,157.891,75.359,133.727,77.154,2022-04-08T01:40:25.000Z,22.30463,39.10355
0.07,25.6,8.62,171.815,74.96,170.018,75.836,2022-04-08T02:10:25.000Z,22.30467,39.10355
0.04,25.6,5.42,357.759,71.333,60.255,80.709,2022-04-08T02:40:25.000Z,22.30465,39.10357
0.06,25.6,8.8,160.809,73.045,142.237,77.39,2022-04-08T03:10:25.000Z,22.30465,39.10358
0.01,17.06,4.42,189.462,80.787,341.996,79.345,2022-04-08T03:40:25.000Z,22.30467,39.10357
0.05,25.6,8.38,234.834,78.868,312.274,79.243,2022-04-08T04:10:25.000Z,22.30467,39.10358
0.05,25.6,8.78,199.799,79.969,165.069,78.531,2022-04-08T04:40:25.000Z,22.30465,39.10358
0.09,25.6,10.64,185.194,79.705,128.66,80.008,2022-04-08T05:10:25.000Z,22.30465,39.10357
0.04,25.6,5.2,166.701,78.758,212.276,80.134,2022-04-08T05:40:25.000Z,22.30465,39.1036
0.03,25.6,3.32,163.982,71.903,180.0,77.961,2022-04-08T06:10:25.000Z,22.30465,39.1036
0.03,1.28,1.76,330.751,79.886,175.601,79.989,2022-04-08T06:40:25.000Z,22.30467,39.10358
0.04,1.26,2.22,173.601,76.646,28.61,80.03,2022-04-08T07:40:25.000Z,22.30465,39.10358
0.09,17.06,5.84,76.171,78.333,75.763,78.243,2022-04-08T08:10:25.000Z,22.30467,39.10358
0.13,25.6,9.72,6.216,76.9,1.245,79.185,2022-04-08T08:40:25.000Z,22.30468,39.10358
0.03,1.28,1.76,99.36,73.361,141.667,78.828,2022-04-08T09:10:25.000Z,22.30468,39.10358
0.04,1.26,2.34,314.576,77.155,285.068,78.867,2022-04-08T09:40:25.000Z,22.3047,39.10358
0.05,20.48,2.58,281.041,75.903,138.366,80.55,2022-04-08T10:10:25.000Z,22.30468,39.10358
0.1,17.06,4.34,219.341,77.842,228.752,77.529,2022-04-08T11:10:25.000Z,22.3047,39.10357
0.06,12.8,2.18,158.569,71.345,148.266,77.409,2022-04-08T11:40:25.000Z,22.30473,39.1036
0.1,20.48,2.76,136.123,79.587,90.0,78.535,2022-04-08T12:10:25.000Z,22.30472,39.1036
0.06,25.6,2.64,170.796,71.842,177.905,77.711,2022-04-08T12:40:25.000Z,22.30472,39.10358
0.09,1.48,1.94,131.505,64.677,142.481,78.182,2022-04-08T13:10:25.000Z,22.30472,39.10357
0.09,1.46,2.08,270.494,76.296,151.991,78.892,2022-04-08T13:40:25.000Z,22.30468,39.10355
0.05,1.32,1.78,38.66,78.713,157.38,79.992,2022-04-08T14:10:25.000Z,22.3047,39.10357
0.03,1.32,1.66,80.722,72.471,131.348,79.699,2022-04-08T14:40:25.000Z,22.3047,39.10357
0.04,2.76,2.4,116.835,59.356,125.599,76.623,2022-04-08T15:10:25.000Z,22.3047,39.10357
0.02,20.48,4.46,1.469,77.877,342.897,80.488,2022-04-08T15:40:25.000Z,22.3047,39.10358
0.02,6.4,3.5,162.933,76.159,143.973,79.396,2022-04-08T16:10:25.000Z,22.30468,39.10358
0.02,11.36,3.4,249.444,79.663,354.289,80.629,2022-04-08T16:40:25.000Z,22.30468,39.10358
0.03,7.86,4.46,296.565,80.584,123.887,77.766,2022-04-08T17:10:25.000Z,22.3047,39.1036
0.03,20.48,4.42,65.225,76.957,58.955,76.119,2022-04-08T17:40:25.000Z,22.30467,39.10358
0.05,10.24,7.06,91.716,69.651,81.747,75.605,2022-04-08T18:10:25.000Z,22.30472,39.10358
0.02,6.02,3.46,17.734,72.375,1.469,76.253,2022-04-08T18:40:25.000Z,22.30468,39.10355
0.05,11.36,7.0,334.863,75.126,11.31,79.808,2022-04-08T19:10:25.000Z,22.3047,39.1036
0.04,25.6,8.66,85.38,76.995,143.549,76.573,2022-04-08T19:40:25.000Z,22.30472,39.1036
0.04,11.36,5.78,215.754,74.68,277.352,78.514,2022-04-08T20:10:25.000Z,22.30472,39.1036
0.07,25.6,11.1,139.439,74.624,207.324,78.308,2022-04-08T20:40:25.000Z,22.30473,39.1036
0.04,17.06,7.68,153.536,70.272,171.656,74.784,2022-04-08T21:10:25.000Z,22.30472,39.10358
0.05,20.48,9.78,328.696,77.523,335.726,78.782,2022-04-08T21:40:25.000Z,22.30472,39.1036
0.05,20.48,9.28,357.732,76.921,360.0,77.796,2022-04-08T22:10:25.000Z,22.30468,39.1036
0.02,17.06,4.2,256.695,74.763,306.304,78.584,2022-04-08T22:40:25.000Z,22.3047,39.10353
0.06,25.6,9.54,9.462,80.303,291.448,79.828,2022-04-08T23:10:25.000Z,22.30467,39.10353
0.05,20.48,8.04,228.155,77.385,191.31,77.52,2022-04-08T23:40:25.000Z,22.30467,39.10355
0.05,14.62,7.26,185.412,77.157,155.225,79.309,2022-04-09T00:10:25.000Z,22.30467,39.10355
0.07,25.6,10.38,214.439,75.819,236.155,76.869,2022-04-09T00:40:25.000Z,22.30465,39.10357
0.06,20.48,8.66,108.789,76.864,168.69,80.624,2022-04-09T01:10:25.000Z,22.30467,39.10357
0.07,25.6,10.04,169.824,67.314,173.13,74.112,2022-04-09T01:40:25.000Z,22.30463,39.10358
0.13,25.6,13.74,170.577,70.97,169.274,71.294,2022-04-09T02:10:25.000Z,22.30473,39.10357
0.07,25.6,9.9,299.745,80.065,201.371,80.044,2022-04-09T02:40:25.000Z,22.30465,39.10355
0.02,20.48,5.74,174.094,77.487,178.531,77.877,2022-04-09T03:10:25.000Z,22.30465,39.10355
0.01,20.48,4.86,43.561,75.248,8.616,76.961,2022-04-09T03:40:25.000Z,22.30465,39.10355
0.07,25.6,10.64,115.974,79.292,185.194,78.811,2022-04-09T04:40:25.000Z,22.30465,39.10353
0.08,25.6,10.4,244.898,76.019,223.556,77.623,2022-04-09T05:10:25.000Z,22.30465,39.10355
0.05,17.06,7.36,149.036,78.447,297.897,80.263,2022-04-09T05:40:25.000Z,22.30465,39.10357
0.01,25.6,2.36,27.979,79.58,135.0,80.635,2022-04-09T06:10:25.000Z,22.30467,39.10357
0.01,2.32,2.06,174.526,70.84,186.953,79.376,2022-04-09T06:40:25.000Z,22.30467,39.10355
0.01,10.24,2.76,121.608,77.947,18.435,80.4,2022-04-09T07:10:25.000Z,22.30467,39.10357
0.01,17.06,4.76,95.711,77.779,119.476,78.908,2022-04-09T07:40:25.000Z,22.30467,39.10357
0.07,25.6,4.78,60.819,77.457,66.801,79.813,2022-04-09T08:10:25.000Z,22.30467,39.10357
0.06,20.48,2.42,100.66,77.527,133.264,79.158,2022-04-09T08:40:25.000Z,22.30468,39.10357
0.09,1.46,1.98,244.983,76.302,138.652,79.699,2022-04-09T09:40:25.000Z,22.30468,39.10357
0.07,25.6,2.06,187.667,78.923,180.0,79.791,2022-04-09T10:10:25.000Z,22.30468,39.10355
0.09,25.6,2.32,13.736,77.272,258.111,80.256,2022-04-09T10:40:25.000Z,22.30467,39.10355
0.09,1.48,2.2,1.941,76.209,131.634,79.098,2022-04-09T12:10:25.000Z,22.30468,39.10358
0.09,1.52,2.06,143.926,65.23,180.0,80.512,2022-04-09T12:40:25.000Z,22.30467,39.10357
0.07,17.06,2.18,166.337,73.281,152.819,77.664,2022-04-09T13:10:25.000Z,22.30468,39.10355
0.05,1.28,2.16,134.635,71.698,158.199,78.427,2022-04-09T13:40:25.000Z,22.30467,39.10357
0.03,2.76,2.16,108.554,67.891,143.973,78.844,2022-04-09T14:10:25.000Z,22.30468,39.10355
0.02,17.06,8.18,143.641,68.504,178.877,76.882,2022-04-09T14:40:25.000Z,22.3047,39.10357
0.01,12.8,3.78,83.66,77.359,142.253,79.461,2022-04-09T15:10:25.000Z,22.3047,39.10357
0.01,25.6,3.76,269.17,78.248,317.291,79.615,2022-04-09T15:40:25.000Z,22.3047,39.1036
0.01,17.06,4.12,217.036,75.374,205.463,79.165,2022-04-09T16:10:25.000Z,22.30468,39.10358
0.03,6.82,4.02,335.194,75.659,63.435,80.673,2022-04-09T16:40:25.000Z,22.30467,39.10357
0.04,10.24,5.92,216.87,78.82,125.882,76.296,2022-04-09T17:10:25.000Z,22.30468,39.10357
0.06,20.48,9.44,272.111,71.916,272.045,77.628,2022-04-09T17:40:25.000Z,22.30468,39.10358
0.01,17.06,3.2,202.989,79.596,193.392,80.169,2022-04-09T18:10:25.000Z,22.3047,39.10357
0.04,20.48,8.16,313.112,78.437,347.661,79.721,2022-04-09T18:40:25.000Z,22.3047,39.10355
0.05,25.6,10.04,157.087,76.745,144.819,78.017,2022-04-09T19:10:25.000Z,22.30467,39.10355
0.04,17.06,6.8,118.496,77.81,19.44,80.311,2022-04-09T19:40:25.000Z,22.30468,39.10355
0.05,25.6,8.92,107.063,72.177,122.56,77.03,2022-04-09T20:10:25.000Z,22.30467,39.10355
0.04,17.06,7.48,300.964,76.759,344.389,78.182,2022-04-09T21:10:25.000Z,22.30467,39.10355
0.01,25.6,12.02,81.355,73.862,86.359,76.539,2022-04-09T21:40:25.000Z,22.30465,39.10357
0.04,25.6,8.12,96.442,78.519,6.203,79.175,2022-04-09T22:10:25.000Z,22.30465,39.10357
0.01,25.6,7.98,36.918,71.052,37.739,73.353,2022-04-09T22:40:25.000Z,22.30467,39.10357
0.05,14.62,7.24,154.885,79.617,140.826,79.637,2022-04-09T23:10:25.000Z,22.30467,39.10358
0.05,20.48,8.5,193.782,78.838,26.565,80.584,2022-04-10T00:10:25.000Z,22.30465,39.10358
0.06,25.6,9.16,170.181,76.735,275.906,79.865,2022-04-10T00:40:25.000Z,22.30465,39.10357
0.06,25.6,9.3,235.923,79.386,203.962,79.85,2022-04-10T01:10:25.000Z,22.30465,39.10357
0.08,17.06,9.86,152.216,72.224,157.182,73.646,2022-04-10T01:40:25.000Z,22.30468,39.10357
0.12,20.48,12.4,163.233,74.296,158.614,74.699,2022-04-10T02:10:25.000Z,22.30467,39.10357
0.06,25.6,8.42,195.945,79.28,53.746,80.288,2022-04-10T02:40:25.000Z,22.30463,39.10357
0.06,20.48,8.44,1.818,75.872,43.152,80.155,2022-04-10T03:10:25.000Z,22.30465,39.10357
0.02,25.6,3.5,315.0,76.238,330.396,76.916,2022-04-10T03:40:25.000Z,22.30465,39.10357
0.02,25.6,3.6,307.304,76.732,331.504,77.81,2022-04-10T04:10:25.000Z,22.30465,39.10357
0.06,25.6,9.12,104.744,79.457,132.274,79.243,2022-04-10T04:40:25.000Z,22.30465,39.10357
0.09,25.6,11.06,266.348,77.208,252.474,77.808,2022-04-10T05:10:25.000Z,22.30465,39.10357
0.06,20.48,8.34,318.562,73.958,336.038,78.251,2022-04-10T05:40:25.000Z,22.30465,39.10358
0.02,25.6,4.36,176.168,72.258,159.305,77.124,2022-04-10T06:10:25.000Z,22.30465,39.10358
0.01,17.06,3.98,278.746,80.506,161.222,78.909,2022-04-10T06:40:25.000Z,22.30465,39.1036
0.02,2.48,2.64,272.216,66.389,169.046,79.768,2022-04-10T07:10:25.000Z,22.30465,39.1036
0.02,25.6,3.5,359.326,73.99,15.068,78.867,2022-04-10T07:40:25.000Z,22.30465,39.10358
0.05,25.6,6.3,153.435,71.125,135.764,78.9,2022-04-10T08:10:25.000Z,22.30467,39.10358
0.04,10.24,4.14,143.13,78.207,153.435,78.601,2022-04-10T09:10:25.000Z,22.30467,39.10358
0.04,20.48,2.26,113.827,71.996,165.763,78.243,2022-04-10T09:40:25.000Z,22.30465,39.10358
0.08,1.64,1.9,134.215,78.958,131.424,80.126,2022-04-10T10:10:25.000Z,22.30465,39.10358
0.09,25.6,2.2,119.678,76.672,140.194,79.151,2022-04-10T10:40:25.000Z,22.30467,39.10358
0.07,11.36,2.58,221.444,75.9,152.676,78.308,2022-04-10T11:10:25.000Z,22.30468,39.10358
0.04,1.32,2.5,343.301,78.081,192.804,80.13,2022-04-10T11:40:25.000Z,22.30465,39.10358
0.07,17.06,1.98,227.379,70.185,204.075,78.963,2022-04-10T12:10:25.000Z,22.30467,39.10358
0.06,12.8,2.42,60.005,75.194,146.611,78.914,2022-04-10T12:40:25.000Z,22.30467,39.10358
0.05,1.3,1.78,241.991,78.892,153.759,77.83,2022-04-10T13:10:25.000Z,22.30467,39.10358
0.04,1.3,1.96,234.246,69.182,193.601,78.462,2022-04-10T13:40:25.000Z,22.30468,39.10358
0.03,20.48,2.18,54.028,77.935,149.826,79.034,2022-04-10T14:10:25.000Z,22.3047,39.1036
0.04,7.86,3.98,301.608,78.573,3.814,79.829,2022-04-10T14:40:25.000Z,22.30473,39.10357
0.01,17.06,4.94,224.653,76.268,343.811,79.74,2022-04-10T15:10:25.000Z,22.30473,39.10357
0.01,20.48,6.56,6.134,72.002,21.801,76.419,2022-04-10T15:40:25.000Z,22.3047,39.10357
0.06,25.6,9.3,176.055,79.869,141.582,79.549,2022-04-10T16:40:25.000Z,22.3047,39.1036
0.04,9.3,5.54,121.608,76.039,129.806,79.467,2022-04-10T17:10:25.000Z,22.30472,39.1036
0.05,25.6,8.7,148.05,76.565,156.501,77.992,2022-04-10T17:40:25.000Z,22.3047,39.10357
0.01,20.48,4.96,82.255,75.868,102.665,77.332,2022-04-10T18:10:25.000Z,22.3047,39.10357
0.01,25.6,3.72,104.657,75.52,80.77,77.752,2022-04-10T18:40:25.000Z,22.30468,39.10358
0.06,17.06,7.88,302.845,77.215,278.427,78.837,2022-04-10T19:10:25.000Z,22.30468,39.10358
0.08,25.6,10.8,296.742,75.09,304.574,77.387,2022-04-10T19:40:25.000Z,22.3047,39.10362
0.03,8.52,5.14,127.003,77.531,95.042,78.278,2022-04-10T20:10:25.000Z,22.3047,39.1036
0.06,25.6,10.18,309.806,78.834,328.671,79.955,2022-04-10T20:40:25.000Z,22.30473,39.1036
0.05,20.48,8.46,8.427,75.43,27.013,78.729,2022-04-10T21:10:25.000Z,22.3047,39.1036
0.05,25.6,9.28,283.556,69.967,276.044,77.57,2022-04-10T21:40:25.000Z,22.30468,39.10362
0.02,20.48,3.74,73.968,77.361,34.902,78.925,2022-04-10T22:10:25.000Z,22.30468,39.10362
0.06,25.6,10.38,355.088,70.118,10.46,75.612,2022-04-10T22:40:25.000Z,22.30467,39.10358
0.08,25.6,10.8,352.349,72.553,347.838,76.184,2022-04-10T23:10:25.000Z,22.3047,39.10358
0.02,25.6,11.6,245.583,73.598,242.289,76.472,2022-04-10T23:40:25.000Z,22.3047,39.10358
0.05,25.6,8.98,292.004,74.532,320.11,77.493,2022-04-11T00:10:25.000Z,22.30468,39.10358
0.06,25.6,9.54,304.695,77.18,300.411,78.888,2022-04-11T00:40:25.000Z,22.30468,39.1036
0.04,25.6,6.34,166.13,74.126,138.621,78.781,2022-04-11T01:10:25.000Z,22.30467,39.1036
0.11,25.6,12.88,144.823,72.541,149.797,74.636,2022-04-11T01:40:25.000Z,22.30463,39.1036
0.06,25.6,7.94,251.413,76.161,270.0,79.912,2022-04-11T02:40:25.000Z,22.30465,39.10357
0.06,25.6,9.48,52.253,79.461,58.392,79.81,2022-04-11T03:10:25.000Z,22.30467,39.10357
0.05,25.6,8.72,138.879,77.646,198.435,80.4,2022-04-11T03:40:25.000Z,22.30467,39.10357
0.02,25.6,3.78,36.293,77.82,64.654,79.346,2022-04-11T04:10:25.000Z,22.30467,39.10358
0.06,25.6,8.58,195.524,74.071,206.917,78.088,2022-04-11T04:40:25.000Z,22.30465,39.10357
0.09,25.6,11.14,191.364,72.32,190.84,77.145,2022-04-11T05:10:25.000Z,22.30465,39.10357
0.02,25.6,6.38,203.649,74.119,216.747,77.233,2022-04-11T05:40:25.000Z,22.30465,39.1036
0.01,25.6,4.62,7.907,78.097,14.036,80.537,2022-04-11T06:10:25.000Z,22.30465,39.1036
0.01,25.6,2.4,116.35,76.153,130.914,79.441,2022-04-11T06:40:25.000Z,22.30465,39.10362
0.02,14.62,3.24,176.677,74.627,122.347,79.61,2022-04-11T07:10:25.000Z,22.30465,39.10362
0.04,20.48,3.02,7.431,78.224,47.726,79.243,2022-04-11T07:40:25.000Z,22.30467,39.10358
0.08,20.48,4.3,312.51,77.738,70.71,76.718,2022-04-11T08:10:25.000Z,22.30467,39.10358
0.04,1.28,1.66,183.879,76.201,191.155,78.11,2022-04-11T09:10:25.000Z,22.30468,39.10358
0.04,17.06,2.66,126.347,78.379,152.354,80.084,2022-04-11T09:40:25.000Z,22.30468,39.1036
0.05,25.6,2.42,317.968,73.066,270.0,79.59,2022-04-11T10:10:25.000Z,22.30467,39.1036
0.13,17.06,6.8,84.289,80.229,139.899,78.021,2022-04-11T11:10:25.000Z,22.30468,39.1036
0.06,20.48,3.08,247.751,80.082,146.31,80.886,2022-04-11T11:40:25.000Z,22.30468,39.1036
0.05,20.48,4.02,222.274,78.029,171.634,79.656,2022-04-11T12:10:25.000Z,22.3047,39.1036
0.05,14.62,4.68,171.469,80.224,114.538,79.0,2022-04-11T12:40:25.000Z,22.3047,39.10358
0.05,17.06,4.34,21.89,76.098,65.695,78.288,2022-04-11T13:10:25.000Z,22.3047,39.10358
0.03,25.6,2.76,57.031,77.457,90.0,79.59,2022-04-11T13:40:25.000Z,22.30472,39.10362
0.04,25.6,3.48,125.253,71.165,111.337,78.26,2022-04-11T14:10:25.000Z,22.3047,39.10362
0.03,25.6,3.82,262.02,76.63,225.0,79.159,2022-04-11T14:40:25.000Z,22.30472,39.10358
0.04,25.6,4.84,1.273,75.492,31.329,79.955,2022-04-11T15:10:25.000Z,22.30472,39.10358
0.02,25.6,4.9,145.408,76.729,142.595,77.564,2022-04-11T15:40:25.000Z,22.30472,39.10357
0.05,17.06,4.92,5.466,72.237,16.639,77.349,2022-04-11T16:10:25.000Z,22.30472,39.10357
0.05,25.6,3.58,342.759,77.337,67.891,79.649,2022-04-11T16:40:25.000Z,22.3047,39.10358
0.03,20.48,3.9,117.013,78.729,104.47,79.75,2022-04-11T17:10:25.000Z,22.30472,39.10362
0.01,20.48,3.7,7.023,75.321,53.366,79.08,2022-04-11T18:10:25.000Z,22.3047,39.10358
0.01,17.06,2.34,316.521,77.799,21.801,78.867,2022-04-11T18:40:25.000Z,22.3047,39.10357
0.06,20.48,9.14,250.278,78.767,141.52,76.981,2022-04-11T19:40:25.000Z,22.3047,39.10357
